,user_id,item_id,term,length_of_stay_bucket,rate_plan,room_segment,n_people_bucket,weekend_stay
61,69,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
62,70,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
63,71,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
64,72,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
65,73,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
66,74,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
67,75,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
68,76,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
69,77,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
70,78,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
71,79,36,OffSeason,[2-3],Standard,[160-260],[1-1],False
72,80,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
73,81,37,OffSeason,[4-7],Standard,[160-260],[1-1],False
74,81,37,OffSeason,[4-7],Standard,[160-260],[1-1],False
75,81,37,OffSeason,[4-7],Standard,[160-260],[1-1],False
76,82,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
77,83,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
78,84,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
79,85,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
80,86,32,OffSeason,[2-3],Standard,[260-360],[2-2],True
81,86,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
82,87,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
83,1,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
84,1,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
85,89,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
86,90,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
87,91,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
88,92,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
89,93,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
90,94,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
91,95,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
92,97,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
93,98,38,OffSeason,[8-inf],Standard,[160-260],[2-2],True
94,99,39,OffSeason,[4-7],Standard,[260-360],[3-4],True
95,100,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
96,101,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
97,102,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
98,103,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
99,104,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
100,105,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
101,106,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
102,107,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
103,108,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
104,109,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
105,110,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
106,110,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
107,110,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
108,111,40,OffSeason,[4-7],Standard,[160-260],[1-1],True
109,112,41,OffSeason,[2-3],Standard,[260-360],[1-1],True
110,113,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
111,119,42,WinterVacation,[2-3],Standard,[260-360],[2-2],False
112,121,3,WinterVacation,[4-7],Standard,[160-260],[3-4],True
113,126,43,WinterVacation,[4-7],Standard,[160-260],[3-4],False
114,128,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
115,134,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
116,146,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
117,149,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
118,150,44,WinterVacation,[4-7],Standard,[160-260],[1-1],True
119,156,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
120,173,45,WinterVacation,[0-1],Standard,[160-260],[1-1],False
121,225,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
122,313,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
123,356,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
124,412,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
125,442,46,WinterVacation,[8-inf],Standard,[160-260],[3-4],True
126,471,47,WinterVacation,[0-1],Standard,[160-260],,False
127,472,44,WinterVacation,[4-7],Standard,[160-260],[1-1],True
128,473,48,Easter,[2-3],Nonref,[160-260],[3-4],True
129,474,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
130,475,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
131,476,49,HighSeason,[4-7],Standard,[160-260],[5-inf],False
132,477,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
133,479,9,HighSeason,[2-3],Standard,[160-260],[3-4],True
134,480,51,OffSeason,[2-3],Nonref,[160-260],[2-2],False
135,481,52,OffSeason,[0-1],Standard,[160-260],[2-2],True
136,482,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
137,483,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
138,485,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
139,486,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
140,487,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
141,488,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
142,489,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
143,490,54,OffSeason,[4-7],Nonref,[160-260],[2-2],False
144,491,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
145,492,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
146,493,55,OffSeason,[2-3],Nonref,[160-260],[3-4],False
147,494,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
148,495,56,OffSeason,[0-1],Nonref,[160-260],[5-inf],True
149,496,57,Easter,[2-3],Standard,[160-260],[5-inf],True
150,497,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
151,498,58,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
152,499,59,OffSeason,[4-7],Nonref,[160-260],[2-2],True
153,501,59,OffSeason,[4-7],Nonref,[160-260],[2-2],True
154,502,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
155,503,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
156,504,60,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
157,507,61,OffSeason,[8-inf],Standard,[0-160],[2-2],True
158,508,62,HighSeason,[4-7],Standard,[0-160],[2-2],True
159,509,63,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
160,510,64,OffSeason,[2-3],Standard,[0-160],[2-2],True
161,511,65,MayLongWeekend,[4-7],Nonref,[160-260],[2-2],True
162,512,66,WinterVacation,[4-7],Standard,[160-260],[2-2],True
163,514,67,OffSeason,[2-3],Nonref,[0-160],[2-2],True
164,515,68,HighSeason,[4-7],Standard,[160-260],[3-4],True
165,516,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
166,517,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
167,518,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
168,520,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
169,521,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
170,522,59,OffSeason,[4-7],Nonref,[160-260],[2-2],True
171,523,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
172,524,5,Easter,[4-7],Standard,[260-360],[5-inf],True
173,525,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
174,526,69,OffSeason,[2-3],Standard,[260-360],[5-inf],False
175,528,27,Easter,[2-3],Standard,[160-260],[3-4],True
176,529,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
177,530,67,OffSeason,[2-3],Nonref,[0-160],[2-2],True
178,531,9,HighSeason,[2-3],Standard,[160-260],[3-4],True
179,532,59,OffSeason,[4-7],Nonref,[160-260],[2-2],True
180,533,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
181,534,64,OffSeason,[2-3],Standard,[0-160],[2-2],True
182,535,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
183,536,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
184,537,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
185,538,71,Easter,[2-3],Standard,[160-260],[2-2],True
186,539,27,Easter,[2-3],Standard,[160-260],[3-4],True
187,540,67,OffSeason,[2-3],Nonref,[0-160],[2-2],True
188,541,72,HighSeason,[8-inf],Nonref,[160-260],[3-4],True
189,542,73,OffSeason,[4-7],Nonref,[0-160],[2-2],True
190,543,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
191,544,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
192,545,74,OffSeason,[4-7],Nonref,[160-260],[3-4],True
193,546,59,OffSeason,[4-7],Nonref,[160-260],[2-2],True
194,547,75,MayLongWeekend,[2-3],Nonref,[0-160],[2-2],True
195,548,67,OffSeason,[2-3],Nonref,[0-160],[2-2],True
196,549,64,OffSeason,[2-3],Standard,[0-160],[2-2],True
197,550,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
198,551,33,OffSeason,[2-3],Standard,[160-260],[3-4],False
199,552,59,OffSeason,[4-7],Nonref,[160-260],[2-2],True
200,553,76,HighSeason,[2-3],Nonref,[160-260],[3-4],True
201,554,39,OffSeason,[4-7],Standard,[260-360],[3-4],True
202,555,67,OffSeason,[2-3],Nonref,[0-160],[2-2],True
203,556,77,HighSeason,[2-3],Standard,[0-160],[2-2],True
204,558,78,HighSeason,[4-7],Nonref,[0-160],[2-2],True
205,559,79,HighSeason,[2-3],Nonref,[260-360],[5-inf],True
206,560,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
207,561,80,OffSeason,[4-7],Standard,[0-160],[2-2],True
208,563,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
209,564,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
210,565,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
211,567,76,HighSeason,[2-3],Nonref,[160-260],[3-4],True
212,568,51,OffSeason,[2-3],Nonref,[160-260],[2-2],False
213,569,81,OffSeason,[0-1],Nonref,[260-360],[5-inf],True
214,570,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
215,571,82,HighSeason,[4-7],Standard,[160-260],[2-2],True
216,572,83,LowSeason,[4-7],Standard,[0-160],[2-2],True
217,573,73,OffSeason,[4-7],Nonref,[0-160],[2-2],True
218,574,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
219,575,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
220,576,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
221,577,64,OffSeason,[2-3],Standard,[0-160],[2-2],True
222,578,74,OffSeason,[4-7],Nonref,[160-260],[3-4],True
223,579,85,HighSeason,[4-7],Nonref,[160-260],[2-2],True
224,580,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
225,581,86,LowSeason,[2-3],Nonref,[260-360],[5-inf],False
226,582,87,OffSeason,[2-3],Standard,[0-160],[2-2],False
227,583,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
228,584,88,LowSeason,[4-7],Nonref,[260-360],[3-4],True
229,585,40,OffSeason,[4-7],Standard,[160-260],[1-1],True
230,587,73,OffSeason,[4-7],Nonref,[0-160],[2-2],True
231,588,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
232,589,89,Easter,[4-7],Standard,[160-260],[3-4],True
233,590,90,HighSeason,[2-3],Nonref,[0-160],[2-2],True
234,571,82,HighSeason,[4-7],Standard,[160-260],[2-2],True
235,591,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
236,592,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
237,593,63,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
238,594,39,OffSeason,[4-7],Standard,[260-360],[3-4],True
239,595,9,HighSeason,[2-3],Standard,[160-260],[3-4],True
240,596,91,OffSeason,[8-inf],Standard,[160-260],[3-4],True
241,597,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
242,598,92,OffSeason,[8-inf],Nonref,[0-160],[2-2],True
243,599,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
244,600,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
245,601,93,OffSeason,[4-7],Nonref,[0-160],[1-1],True
246,602,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
247,603,64,OffSeason,[2-3],Standard,[0-160],[2-2],True
248,604,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
249,605,77,HighSeason,[2-3],Standard,[0-160],[2-2],True
250,607,94,HighSeason,[4-7],Standard,[260-360],[5-inf],True
251,608,95,HighSeason,[4-7],Nonref,[260-360],[5-inf],True
252,519,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
253,609,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
254,610,96,OffSeason,[4-7],Nonref,[160-260],[5-inf],True
255,611,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
256,612,97,LowSeason,[4-7],Standard,[260-360],[5-inf],True
257,614,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
258,617,94,HighSeason,[4-7],Standard,[260-360],[5-inf],True
259,619,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
260,621,98,LowSeason,[4-7],Nonref,[160-260],[5-inf],True
261,622,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
262,624,67,OffSeason,[2-3],Nonref,[0-160],[2-2],True
263,625,48,Easter,[2-3],Nonref,[160-260],[3-4],True
264,626,99,Easter,[4-7],Nonref,[160-260],[3-4],True
265,627,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
266,628,63,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
267,629,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
268,630,86,LowSeason,[2-3],Nonref,[260-360],[5-inf],False
269,631,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
270,632,100,MayLongWeekend,[4-7],Nonref,[260-360],[5-inf],True
271,633,101,OffSeason,[8-inf],Standard,[160-260],[1-1],True
272,634,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
273,635,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
274,636,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
275,637,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
276,638,102,Easter,[2-3],Nonref,[260-360],[5-inf],True
277,639,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
278,640,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
279,641,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
280,642,103,OffSeason,[4-7],Nonref,[260-360],[3-4],True
281,643,63,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
282,644,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
283,646,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
284,648,104,Easter,[2-3],Standard,[260-360],[3-4],False
285,649,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
286,650,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
287,651,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
288,652,105,WinterVacation,[2-3],Standard,[260-360],[3-4],False
289,653,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
290,654,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
291,655,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
292,656,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
293,657,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
294,658,26,OffSeason,[4-7],Standard,[160-260],[2-2],False
295,659,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
296,660,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
297,661,27,Easter,[2-3],Standard,[160-260],[3-4],True
298,662,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
299,665,106,Easter,[0-1],Nonref,[160-260],[2-2],False
300,669,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
301,670,58,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
302,671,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
303,672,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
304,673,107,WinterVacation,[2-3],Nonref,[160-260],[3-4],True
305,674,108,WinterVacation,[2-3],Standard,[160-260],[1-1],True
306,675,109,LowSeason,[4-7],Nonref,[160-260],[2-2],True
307,676,66,WinterVacation,[4-7],Standard,[160-260],[2-2],True
308,677,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
309,678,110,Easter,[2-3],Standard,[0-160],[1-1],False
310,679,84,OffSeason,[2-3],Nonref,[260-360],[3-4],True
311,680,111,OffSeason,[4-7],Nonref,[160-260],[3-4],False
312,681,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
313,682,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
314,683,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
315,684,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
316,685,56,OffSeason,[0-1],Nonref,[160-260],[5-inf],True
317,686,22,OffSeason,[2-3],Standard,[160-260],[2-2],False
318,1,58,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
319,687,112,HighSeason,[4-7],Standard,[260-360],[2-2],True
320,688,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
321,690,44,WinterVacation,[4-7],Standard,[160-260],[1-1],True
322,691,108,WinterVacation,[2-3],Standard,[160-260],[1-1],True
323,692,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
324,693,74,OffSeason,[4-7],Nonref,[160-260],[3-4],True
325,694,58,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
326,696,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
327,699,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
328,700,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
329,701,55,OffSeason,[2-3],Nonref,[160-260],[3-4],False
330,702,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
331,704,113,WinterVacation,[0-1],Nonref,[160-260],[1-1],True
332,705,114,HighSeason,[8-inf],Standard,[160-260],[2-2],True
333,706,115,WinterVacation,[2-3],Standard,[160-260],[1-1],False
334,707,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
335,708,116,WinterVacation,[0-1],Standard,[0-160],[1-1],False
336,709,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
337,710,117,HighSeason,[2-3],Standard,[160-260],[2-2],True
338,711,118,MayLongWeekend,[4-7],Standard,[260-360],[3-4],True
339,712,119,WinterVacation,[4-7],Nonref,[160-260],[3-4],True
340,713,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
341,714,120,MayLongWeekend,[4-7],Nonref,[0-160],[2-2],True
342,715,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
343,716,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
344,717,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
345,718,60,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
346,719,38,OffSeason,[8-inf],Standard,[160-260],[2-2],True
347,721,121,MayLongWeekend,[2-3],Standard,[160-260],[3-4],True
348,722,118,MayLongWeekend,[4-7],Standard,[260-360],[3-4],True
349,723,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
350,727,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
351,728,18,MayLongWeekend,[4-7],Standard,[160-260],[3-4],True
352,729,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
353,731,60,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
354,731,60,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
355,732,67,OffSeason,[2-3],Nonref,[0-160],[2-2],True
356,733,121,MayLongWeekend,[2-3],Standard,[160-260],[3-4],True
357,734,122,WinterVacation,[0-1],Standard,[260-360],[3-4],False
358,735,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
359,736,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
360,737,78,HighSeason,[4-7],Nonref,[0-160],[2-2],True
361,740,39,OffSeason,[4-7],Standard,[260-360],[3-4],True
362,741,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
363,742,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
364,743,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
365,744,75,MayLongWeekend,[2-3],Nonref,[0-160],[2-2],True
366,745,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
367,746,85,HighSeason,[4-7],Nonref,[160-260],[2-2],True
368,747,123,MayLongWeekend,[2-3],Nonref,[160-260],[3-4],True
369,748,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
370,749,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
371,750,124,MayLongWeekend,[2-3],Nonref,[160-260],[2-2],True
372,751,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
373,752,125,Easter,[4-7],Standard,[160-260],[1-1],True
374,753,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
375,754,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
376,755,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
377,756,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
378,757,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
379,758,60,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
380,762,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
381,763,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
382,764,126,WinterVacation,[0-1],Standard,[160-260],[2-2],False
383,765,67,OffSeason,[2-3],Nonref,[0-160],[2-2],True
384,766,127,WinterVacation,[2-3],Nonref,[160-260],[3-4],False
385,767,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
386,769,45,WinterVacation,[0-1],Standard,[160-260],[1-1],False
387,706,101,OffSeason,[8-inf],Standard,[160-260],[1-1],True
388,770,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
389,772,64,OffSeason,[2-3],Standard,[0-160],[2-2],True
390,773,128,MayLongWeekend,[4-7],Nonref,[160-260],[3-4],True
391,774,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
392,775,64,OffSeason,[2-3],Standard,[0-160],[2-2],True
393,776,129,OffSeason,[8-inf],Nonref,[160-260],[2-2],True
394,777,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
395,778,50,OffSeason,[2-3],Nonref,[160-260],[3-4],True
396,779,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
397,780,18,MayLongWeekend,[4-7],Standard,[160-260],[3-4],True
398,781,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
399,782,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
400,783,33,OffSeason,[2-3],Standard,[160-260],[3-4],False
401,784,70,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
402,785,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
403,786,130,OffSeason,[4-7],Standard,[160-260],[5-inf],True
404,787,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
405,789,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
406,790,53,OffSeason,[2-3],Nonref,[160-260],[2-2],True
407,791,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
408,792,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
409,793,131,OffSeason,[8-inf],Standard,[0-160],[1-1],True
410,794,22,OffSeason,[2-3],Standard,[160-260],[2-2],False
411,795,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
